Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
M2,Texas Instruments,CSD17578Q3A,1,0.13,18.49,VdsMax: 30 V  IdsMax: 20 Amps  
Rcomp,Vishay-Dale,CRCW04022K61FKED,1,0.01,3,Resistance: 2.61 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW04021K37FKED,1,0.01,3,Resistance: 1.37 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rpgood,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Ccomp3,MuRata,GRM1555C1H102JA01J,1,0.01,3,Cap: 1 nF  Total Derated Cap: 1 nF  VDC: 50 V  ESR: 0 Ω  Package: 0402  
Cvcc,TDK,C1005X5R1E105K050BC,1,0.019,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 25 V  ESR: 11.4 mΩ  Package: 0402  
M1,Texas Instruments,CSD17578Q3A,1,0.13,18.49,VdsMax: 30 V  IdsMax: 20 Amps  
Rcomp2,Vishay-Dale,CRCW0402255RFKED,1,0.01,3,Resistance: 255 Ω  Tolerance: 1.0%  Power: 63 mW  
U1,Texas Instruments,TPS40305DRCR,1,0.782,16.81,
Cbyp,Kemet,C0603C105Z8VACTU,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0603  
Cbst,MuRata,GRM155R71C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Ccomp2,MuRata,GRM0335C1E910JA01D,1,0.01,2.08,Cap: 91 pF  Total Derated Cap: 91 pF  VDC: 25 V  ESR: 0 Ω  Package: 0201  
Rfbt,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Cout,TDK,C3216X5R1A107M160AC,1,0.38941,10.92,Cap: 100 µF  Total Derated Cap: 29 µF  VDC: 10 V  ESR: 3.08 mΩ  Package: 1206  
L1,Coilcraft,XAL6030-102MEB,1,0.65,71.56,L: 1 µH  DCR: 5.6 mΩ  IDC: 18 A  
Rs,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Cin,Taiyo Yuden,MSAST21GBB5106MTNA01,3,0.03995,6.75,Cap: 10 µF  Total Derated Cap: 7.1 µF  VDC: 25 V  ESR: 5.46 mΩ  Package: 0805  
Ccomp,TDK,CGA4C2C0G1H392J060AA,1,0.04,6.75,Cap: 3.9 nF  Total Derated Cap: 3.9 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Css,MuRata,GRM033R71A332KA01D,1,0.01,2.08,Cap: 3.3 nF  Total Derated Cap: 3.3 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0201  
